heterótrofos ,"animales y hongos, CONSUMIDORES ",
Tipos de diversidad biológica ,"Diversidad genética: dentro de cada especie, Diversidad entre las especies y, Diversidad de los ecosistemas ",https://cdn.discordapp.com/attachments/1418304319563759626/1418443542052999208/image.png?ex=68ce23fd&is=68ccd27d&hm=0c0118a90e42f496271932b05b7bae87089a4d90358612e06453374eb9af79e8&
Diversidad intraespecífica ,variación genética DENTRO de una especie incluye: la diversidad genética (genotipo) y la diversidad morfológica entre los individuos de una misma especie (fenotipo) ,
genotipo ,información genética que posee un organismo ,https://media.discordapp.net/attachments/1418304319563759626/1418444687416627210/image.png?ex=68ce250e&is=68ccd38e&hm=2b2a5649d80563f0718af801da85f2d7178bb38fbcfd662f256273940f305c59&=&format=webp&quality=lossless
fenotipo ,"expresión del genotipo conjuntamente con la influencia del medio ambiente y factores epigenéticos. 
Es lo que se ve o se mide de un organismo: características físicas, bioquímicas o conductuales.
Resultado de la interacción entre:
Genotipo (la secuencia de ADN heredada).
Ambiente (nutrición, temperatura, estrés, etc.).
Ejemplo: color de ojos, nivel de glucosa en sangre, resistencia a una enfermedad.
",https://media.discordapp.net/attachments/1418304319563759626/1418444687416627210/image.png?ex=68ce250e&is=68ccd38e&hm=2b2a5649d80563f0718af801da85f2d7178bb38fbcfd662f256273940f305c59&=&format=webp&quality=lossless
"Epigenética
","estudio de los mecanismos que regulan la expresión de los genes sin una modificación en la secuencia del ADN que los compone. Es decir, se centra en los procesos que inciden en la trascripción sin alterar el orden o estructura de los nucleótidos, activando o inactivando los genes, y que pueden estar causados por la edad y la exposición a factores ambientales (alimentación, ejercicio, medicamentos y sustancias químicas). Estos cambios pueden mantenerse en el tiempo y trasmitirse de padres a hijos por herencia . 
Son modificaciones químicas heredables en la expresión de los genes que no cambian la secuencia de ADN.
Regulaciones como:
Metilación del ADN.
Modificación de histonas.
ARN no codificante.
Afectan qué genes se activan o silencian → influyen en el fenotipo.
Ejemplo: dos gemelos idénticos con el mismo genotipo pueden tener diferencias fenotípicas porque su epigenética divergió (por dieta, estrés, ambiente).
",https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Epigenetic_mechanisms-es.png/1920px-Epigenetic_mechanisms-es.png
Diversidad interespecífica ,"diversidad/número de especies (filos, grupos o supergrupos) en un determinado hábitat o ecosistema ",
PROPIEDADES EMERGENTES ,propiedades que no pueden ser deducidas de las propiedades de los componentes aislados ,
Quienes son considerados los entes vivos más sencillos? ,eucariotas unicelulares ,
Niveles de organización ,"se caracteriza por poseer propiedades y caracterÃ­sticas especÃ­ficas que distingue a ese nivel de otro y que no existen en el anterior, a lo que se le conocen como propiedades emergente ",https://media.discordapp.net/attachments/1418304319563759626/1418446683989217290/image.png?ex=68ce26ea&is=68ccd56a&hm=33baa54308ba2b60007e81d47399d7ff3280a252bbc3c4285f3da2f04fc98a4e&=&format=webp&quality=lossless
niveles morfológicos ,"grupos con características comunes y son el resultado de procesos de adaptación. Se dan dos aproximaciones: la morfológica, clásica de Strasburger que considera cuatro niveles, y la evolutiva o funcional de Zimmermann que considera diez niveles . ",https://media.discordapp.net/attachments/1418304319563759626/1418447083404394506/image.png?ex=68ce274a&is=68ccd5ca&hm=d93a6d32ec04966ace1a22baeaa0406b51ce68d8126736c470818a52636a5c75&=&format=webp&quality=lossless
PROTOFITOS (I),organismos unicelulares ,https://media.discordapp.net/attachments/1418304319563759626/1418447259820888164/image.png?ex=68ce2774&is=68ccd5f4&hm=e554fc198a4c1b7716cd146c02d050b05192a5bbb689d123ee47705833df2e0c&=&format=webp&quality=lossless&width=550&height=341
PROTOFITOS (II) colonias,colonias. Agregados de células con número de células y apariencia indefinido ,https://media.discordapp.net/attachments/1418304319563759626/1418447515555987607/image.png?ex=68ce27b1&is=68ccd631&hm=13b29ad142397fb883c2eeb5796f28bcaa618bc04d3a6bbbe6bdaa30e935d540&=&format=webp&quality=lossless
PROTOFITOS (III): cenobios ,Agregados de células con número de células y apariencia definido ,https://media.discordapp.net/attachments/1418304319563759626/1418447781760339969/image.png?ex=68ce27f0&is=68ccd670&hm=5d80cc6c73ef01ab88352423c98939ec31eec91019bd7b23e19b5fbfea2887fc&=&format=webp&quality=lossless
PROTOFITOS (IV): plasmodios ,Masas de protoplasma plurinucleadas sin pared celular ,https://media.discordapp.net/attachments/1418304319563759626/1418448068487020575/image.png?ex=68ce2835&is=68ccd6b5&hm=4825776d97af13ac77b5e316d6b494105534d59691de172f78035deccb7fbb3e&=&format=webp&quality=lossless
TALOFITOS,"organismos pluricelulares con células que se especializan y cooperan. El cuerpo de estos vegetales se denomina talo, es poiquilohidro y mayoritariamente de vida acuática ",https://media.discordapp.net/attachments/1418304319563759626/1418448355838660608/image.png?ex=68ce2879&is=68ccd6f9&hm=acfb03ab1dbee84b2adfa2ae8e6f0bb57f25bd4e8f859e5a222cbbb346392c41&=&format=webp&quality=lossless
TALOFITOS (I): colonias celulares de tipo Volvox ,"consta de un gran número de células unidas y dispuestas en una esfera hueca. Algunas células se especializan en la reproducción y otros, por ejemplo, son móviles. Las células están conectadas por plasmodesmos ",https://cdn.discordapp.com/attachments/1418304319563759626/1418525200030634014/image.png?ex=68ce700a&is=68cd1e8a&hm=7eb2fbde047e29a8b91d952d24367d18e5fa12a875f56b7aa8e4af90832379ef&
TALOFITOS (II): filamentos celulares ,Hileras de células una detrás de otra. Los tabiques comunes entre las células presentan punteaduras que las relacionan. Dos tipos: Simples: el plano de división no cambia.  Ramificados: rotación del plano de división (dicótoma o lateral). ,https://cdn.discordapp.com/attachments/1418304319563759626/1418525813543800853/image.png?ex=68ce709c&is=68cd1f1c&hm=3019fbe26725e1a1db5bc30958431290632af6f9b2356e11691b8df69093ca73&
TALOFITOS (III): filamentos sifonales ,"Después de la mitosis, no se forman tabiques o membranas delimitadoras de células*, dando lugar a filamentos plurinucleados. Algunas algas verdes y algunos hongos. (*a excepción de los que delimitan los órganos reproductores) ",https://cdn.discordapp.com/attachments/1418304319563759626/1418526311722516580/image.png?ex=68ce7113&is=68cd1f93&hm=9a61c616da47a16b543e5b49406d45b389f7965a2c2910597bce4dfb99d0b54e&
TALOFITOS (IV): talos sifonocladales (hemisifónicos) ,Filamentos simples o ramificados con unos pocos septos que delimitan porciones multinucleadas. Presente en algunas algas verdes. ,https://cdn.discordapp.com/attachments/1418304319563759626/1418527307257217084/image.png?ex=68ce7201&is=68cd2081&hm=370bda03ae1599f5666726ec90ac8d0142dba95875eddf1b20942a9f741f724b&
TALOFITOS (V): Plecténquima y Pseudoparénquima ,"Plecténquima (“tejido falso”): se origina de filamentos entrelazados y compactados, pero individuales todavía se pueden reconocer los filamentos. Pseudoparénquima: cuando el grado de compactación de los filamentos vegetales o hifas fúngicas es tan grande que los filamentos o hifas individuales ya no son reconocible (superficialmente, se parece al parénquima vegetal). Ejemplos de estructuras pseudoparenquimatosas son ciertas partes de los cuerpos fructíferos (champiñones, setas venenosas, etc.) de muchos hongos, y la vida foliar (laminar) y talos corticados de ciertas. ",https://media.discordapp.net/attachments/1418304319563759626/1418527631564865546/image.png?ex=68ce724e&is=68cd20ce&hm=eb4cf60d82d697fb67f04cc42119f51e50a8b966c97774d65b35e5084a3d71a4&=&format=webp&quality=lossless
TALOFITOS (VI): Talos hísticos. ,"Talos complejos, mostrando algunos tipos de células especializadas (aislantes, corticales y ""tejidos"" medulares). ",https://media.discordapp.net/attachments/1418304319563759626/1418528282659389583/image.png?ex=68ce72e9&is=68cd2169&hm=761461d3d4e8ed53bd21834430f456b8bfa090fdf0528bf3e7b68631d8bc8cd6&=&format=webp&quality=lossless
BRIOFITOS ," Situación intermedia entre talófitos y cormófitos.  Mayoritariamente terrestres.  De organización sencilla.  No tienen sistemas complejos de transporte  Poiquilohidros y muy tolerantes a la desecación. Los organismos con un nivel de organización briofito pertenecen a las plantas terrestres (embriofitas). 

Puede aparecer una diferenciación en parénquima aerífero (clorofílico) y parénquima de asimilación, incluso puede aparecer una cutícula simple y unos poros para permitir la difusión de los gases, pero sin regulación alguna como en los estomas.  En los más desarrollados aparecen estructuras parecidas (análogas) a raíces, tallos y hojas, pero muy simplificados, los tallitos (caulidios) más avanzados pueden presentar una diferenciación simple en tejidos conductores centrales y parenquimáticos periféricos.  ",https://cdn.discordapp.com/attachments/1418304319563759626/1418530824856535140/image.png?ex=68ce7547&is=68cd23c7&hm=208e2ccf8fd0e3b7eaa7cf5f3ca6958705a8152bf51b703a87e49d7fedcf0d6f&
embriofitas, plantas terrestres,
Poiquilohidros ,organismos que que no pueden regular su contenido hídrico y cuya hidratación depende directamente de la humedad ambiental ,https://i.ytimg.com/vi/AURe9F7DCqw/maxresdefault.jpg
CORMOFITOS ,"Organismos complejos, principalmente terrestres.  Aparato vegetativo (cormo) compuesto por:  Raíz.  Vástago.  Tallo  Hojas .

 Son las plantas más complejas.  Tienen una estructura interna compleja, y sus órganos están formados por diferentes tejidos.  Son homeohídricos y dominan los ecosistemas terrestres.  Poseen sistemas conductores (xilema y floema); el primero está lignificado.  Debido a estos sistemas conductores, se denominan plantas VASCULARES.  Tienen regiones de tejido embrionario llamados meristemos. ",https://cdn.discordapp.com/attachments/1418304319563759626/1418533778300735669/image.png?ex=68ce7807&is=68cd2687&hm=cc522a85f6b8463ee7e87c0760ed9cbf882b50bd8847dee2ddd635dbe215c74a&
ascomicetes ,"división más grande y diversa del reino Fungi, caracterizada por producir esporas sexuales llamadas ascósporas dentro de una estructura en forma de saco llamada asca ",
basidiomicetes,"hongos que producen esporas sexuales llamadas basidiosporas, las cuales se forman en una estructura especializada en forma de maza o bastón llamada basidio ",
